Designator,Mid X,Mid Y,Layer,Rotation
R36,67.8000mm,-76.1250mm,Top,0.0
R37,76.2000mm,-76.1250mm,Top,0.0
R38,40.0000mm,-83.5600mm,Top,0.0
R39,43.2000mm,-83.5600mm,Top,0.0
R40,81.8000mm,-73.0550mm,Top,0.0
R41,90.2000mm,-73.0550mm,Top,0.0
R42,81.8000mm,-76.1250mm,Top,0.0
R43,90.2000mm,-76.1250mm,Top,0.0
R44,46.4000mm,-83.5600mm,Top,0.0
R45,92.0000mm,-83.5600mm,Top,0.0
R46,95.8000mm,-73.0550mm,Top,0.0
R47,104.2000mm,-73.0550mm,Top,0.0
R48,95.8000mm,-76.1250mm,Top,0.0
R49,104.2000mm,-76.1250mm,Top,0.0
R50,95.2000mm,-83.5600mm,Top,0.0
R51,98.4000mm,-83.5600mm,Top,0.0
R52,12.0000mm,-97.5870mm,Top,0.0
R53,16.0000mm,-97.5870mm,Top,0.0
R54,55.0000mm,-137.5000mm,Top,0.0
R55,59.0000mm,-137.5000mm,Top,0.0
R56,63.0000mm,-137.5000mm,Top,0.0
R57,67.0000mm,-137.5000mm,Top,0.0
R58,55.0000mm,-135.0000mm,Top,0.0
R59,59.0000mm,-135.0000mm,Top,0.0
R60,63.0000mm,-135.0000mm,Top,0.0
R61,67.0000mm,-135.0000mm,Top,0.0
R62,32.0000mm,-97.5870mm,Top,0.0
R63,31.0000mm,-116.5870mm,Top,0.0
R64,31.0000mm,-124.5720mm,Top,0.0
R65,36.0000mm,-97.5870mm,Top,0.0
R66,39.0000mm,-103.4370mm,Top,0.0
R67,39.0000mm,-110.9370mm,Top,0.0
RS1,11.0000mm,-46.3150mm,Top,0.0
SW1,51.0000mm,-99.5270mm,Top,0.0
SW2,42.0000mm,-99.5270mm,Top,0.0
U1,9.0000mm,-51.8500mm,Top,0.0
U2,32.0000mm,-106.4910mm,Top,0.0
U3,50.0000mm,-119.2570mm,Top,0.0
U4,96.0000mm,-133.0000mm,Top,180.0
U5,66.0000mm,-119.5945mm,Top,0.0
U6,34.0000mm,-81.9010mm,Top,0.0
U7,56.0000mm,-81.9010mm,Top,0.0
